trading_code,company_name,sector,instrument_type,market_category,listing_status,observed_at,source_reference,verification_status
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CBLPBOND,City Bank Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CENTRALINS,Central Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CENTRALPHL,Central Pharmaceuticals Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CITYBANK,City Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CITYGENINS,City Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CLICL,Chartered Life Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CNATEX,C & A Textiles Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CONFIDCEM,Confidence Cement PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CONTININS,Continental Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
COPPERTECH,Coppertech Industries Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CROWNCEMNT,Crown Cement PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CRYSTALINS,Crystal Insurance Company Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
CVOPRL,CVO Petrochemical Refinery PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DACCADYE,The Dacca Dyeing & Manufacturing Co.Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DAFODILCOM,Daffodil Computers PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DBH,DBH Finance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DBH1STMF,DBH First Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DBLPBOND,Dhaka Bank Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBARACEM,Aramit Cement Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBDLUGG,Bangladesh Luggage Ind. Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBDWELD,BD Welding Electrodes Ltd.(Deb-15%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBDZIPP,Bangladesh Zipper Ind. Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBXDENIM,Beximco Denims Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBXFISH,Beximco Fisheries Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBXKNI,Beximco Knitting Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DEBBXTEX,Beximco Textiles Ltd.(Deb-14%),,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DELTALIFE,Delta Life Insurance Company Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DELTASPINN,Delta Spinners Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DESCO,Dhaka Electric Supply Company Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DESHBANDHU,Deshbandhu Polymer Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DGIC,Desh General Insurance Company Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
